"accepted_name","genus","family","class","n_records","rank","det_conflict","lifeform","lifeform_source","gift_status","wagner_status","status_agree"
"Nephrolepis cordifolia","Nephrolepis","Nephrolepidaceae","Polypodiopsida",1,"species","","fern","clade","introduced","I",FALSE
"Nephrolepis exaltata","Nephrolepis","Nephrolepidaceae","Polypodiopsida",2,"species","","fern","clade","indigenous","I",TRUE
"Nephrolepis obliterata","Nephrolepis","Nephrolepidaceae","Polypodiopsida",1,"species","","fern","clade",,,
"Nephrolepis sp.","Nephrolepis","Nephrolepidaceae","Polypodiopsida",1,"genus","","fern","clade",,"?",
"Ceodes brunoniana","Ceodes","Nyctaginaceae","Magnoliopsida",1,"species","","tree","gift-species","indigenous",,
"Ceodes umbellifera","Ceodes","Nyctaginaceae","Magnoliopsida",1,"species","","tree","gift-species","indigenous",,
"Pisonia sandwicensis","Pisonia","Nyctaginaceae","Magnoliopsida",1,"species","","tree","gift-genus",,"E",
"Nestegis sandwicensis","Nestegis","Oleaceae","Magnoliopsida",3,"species","","tree","gift-species","endemic","E",TRUE
"Ludwigia palustris","Ludwigia","Onagraceae","Magnoliopsida",1,"species","conflict","herb","gift-species","introduced","Nat",TRUE
"Freycinetia arborea","Freycinetia","Pandanaceae","Liliopsida",3,"species","","tree","gift-species","indigenous","I",TRUE
"Pinus halepensis","Pinus","Pinaceae","Pinopsida",1,"species","","tree","gift-species",,"Cult",
"Pinus patula","Pinus","Pinaceae","Pinopsida",1,"species","","tree","gift-species","introduced","Cult",TRUE
"Peperomia cookiana","Peperomia","Piperaceae","Magnoliopsida",6,"species","","herb","gift-species","endemic","E",TRUE
"Peperomia leptostachya","Peperomia","Piperaceae","Magnoliopsida",1,"species","","herb","gift-species",,,
"Peperomia tetraphylla","Peperomia","Piperaceae","Magnoliopsida",1,"species","","herb","gift-species","indigenous","I",TRUE
"Pittosporum hosmeri","Pittosporum","Pittosporaceae","Magnoliopsida",2,"species","","tree","gift-species","endemic","E",TRUE
"Pittosporum sp.","Pittosporum","Pittosporaceae","Magnoliopsida",1,"genus","","tree","gift-genus",,,
"Nuttallanthus canadensis","Nuttallanthus","Plantaginaceae","Magnoliopsida",1,"species","","herb","gift-species",,"Nat",
"Nuttallanthus texanus","Nuttallanthus","Plantaginaceae","Magnoliopsida",1,"species","","herb","gift-species","introduced",,
"Agrostis stolonifera","Agrostis","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Aira elegans","Aira","Poaceae","Liliopsida",1,"species","","graminoid","clade",,,
"Andropogon virginicus","Andropogon","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Anthoxanthum odoratum","Anthoxanthum","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Axonopus fissifolius","Axonopus","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Briza minor","Briza","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Dactylis glomerata","Dactylis","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Digitaria eriantha","Digitaria","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Digitaria violascens","Digitaria","Poaceae","Liliopsida",1,"species","","graminoid","clade","introduced","Nat",TRUE
"Festuca bromoides","Festuca","Poaceae","Liliopsida",2,"species","","graminoid","clade","introduced",,
