key,scientificName,family,recordedBy,recordNumber,eventDate,verbatimEventDate,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,verbatimElevation,habitat,reproductiveCondition,occurrenceRemarks,fieldNotes,identifiedBy,dateIdentified,typeStatus,institutionCode,collectionCode,catalogNumber,preparations
4982821239,Metrosideros diffusa (G.Forst.) Sm.,Myrtaceae,"Ecroyd, C.E.",,1974-01-17,,NZ,North Island,South Auckland,"Tihoi State Forest, Waimonoa Stream",,-38.545656,175.699718,,,,,,Growing as a vine on recently fallen tree.,,"Ecroyd, C.E.",1974-01-17T00:00:00,,NZFRI,,NZFRI 9220,
5177575808,Metrosideros Banks ex Gaertn.,Myrtaceae,"McKee, H.S.",28056,1974-01-15,,NC,,,,,,,,450.0,,,Flowers and buds,,,,1975-11-01T00:00:00,,BRI,Herbrecs,BRI AQ0593778,Sheet
1091166224,Metrosideros colensoi Hook.fil.,Myrtaceae,Tony Druce,,1974-02,FEB-1974,NZ,Nelson Land District,,,"Takaka Hill summit, Northwest Nelson",-41.030984,172.864724,,820.0,820,Scrub on cliff.,,,,Anthony P. Druce,1974-02-01T00:00:00,,CHR,CHR,CHR 273479,
1091194956,Metrosideros robusta A.Cunn.,Myrtaceae,Tony Druce,,1974-02,FEB-1974,NZ,Nelson Land District,,,East of Cape Farewell,-40.505706,172.713779,,76.0,76,Scrub.,,,,Anthony P. Druce,1974-02-01T00:00:00,,CHR,CHR,CHR 273450,
1091238304,Metrosideros umbellata Cav.,Myrtaceae,AF Mark|Peter Wardle,,1974-02-10,10-FEB-1974,NZ,Southland Land District,,,"Fiordland, Fiordland National Park, Poison Bay",-44.714597,167.634239,,158.0,158,,,,,A.F. Mark|Peter Wardle,1974-02-10T00:00:00,,CHR,CHR,CHR 228151,
3989304326,Metrosideros carminea W.R.B.Oliv.,Myrtaceae,Margaret Jane Annand Simpson,,1974-02-27,27.2.1974,NZ,Nelson Land District,,,"Wainui Falls, nr. Totoranui, Nelson",-40.849,172.928,,,,remnant coastal forest,,,,Paula M. Godfrey,2022-11-01T00:00:00,,CHR,CHR,CHR 285298,
4520909217,Metrosideros excelsa Sol. ex Gaertn.,Myrtaceae,Dr Frank Climo,,1974-02-18,18 Feb 1974,NZ,Three Kings Islands,,"Three Kings Islands, North East Island.",,-34.1314792,172.1501609,,,,Cliffs above shore.,,,,Dr Richard Dell,1974-02-01T00:00:00,,NMNZ,WELT,SP051681,
1091232719,Metrosideros fulgens Sol. ex Gaertn.,Myrtaceae,Rhys O. Gardner,,1974-03-22,22-MAR-1974,NZ,North Auckland Land District,,,"Waitakere Ranges, Spragg's Bush",-36.891913,174.346175,,183.0,183,Climbing on tree fern in sun.,,,,Rhys O. Gardner,1974-03-22T00:00:00,,CHR,CHR,CHR 298096,
2514345952,Metrosideros fulgens Sol. ex Gaertn.,Myrtaceae,Gardner RO,"Gardner, RO 867",1974-03-22,,NZ,,,"Spragg's Bush, Waitakere Rge.",,,,,,,,,,,,,,,Botany,L.2522624,
2516439810,Metrosideros perforata (J.R.Forst. & G.Forst.) A.Rich.,Myrtaceae,Gardner RO,"Gardner, RO 868",1974-03-22,,NZ,,,"Spragg's Bush, Waitakere Rge.",,,,,,,,,,,,,,,Botany,L.2522543,
